task,n,idf_exponent,dim,normalize,position_weight,denominator,eval_sec,map,ndcg@10,ndcg@5,mrr,hit@1,hit@10,recall@10,p@10,rprec
typo_brutal,"(1, 2)",0.5,2.0,False,0.5,dice,12.89,0.20746,0.23638,0.2105,0.20746,0.136,0.356,0.356,0.0356,0.136
typo_brutal,"(1, 2)",0.5,2.0,False,1.0,dice,12.81,0.22752,0.25614,0.23734,0.22752,0.152,0.376,0.376,0.0376,0.152
typo_brutal,"(1, 2)",0.5,2.0,True,0.0,dice,13.09,0.25637,0.29608,0.25885,0.25637,0.172,0.456,0.456,0.0456,0.172
typo_brutal,"(1, 2)",0.5,2.0,True,0.5,dice,12.74,0.32541,0.3655,0.33229,0.32541,0.232,0.524,0.524,0.0524,0.232
typo_brutal,"(1, 2)",0.5,2.0,True,1.0,dice,12.85,0.37603,0.41434,0.38882,0.37603,0.28,0.568,0.568,0.0568,0.28
typo_brutal,"(1, 2)",0.5,2.0,True,0.0,geo,13.21,0.25774,0.29514,0.25782,0.25774,0.172,0.448,0.448,0.0448,0.172
typo_brutal,"(1, 2)",0.5,2.0,True,0.5,geo,12.96,0.32165,0.36318,0.33142,0.32165,0.228,0.524,0.524,0.0524,0.228
typo_brutal,"(1, 2)",0.5,2.0,True,1.0,geo,12.74,0.36255,0.40016,0.37475,0.36255,0.264,0.552,0.552,0.0552,0.264
typo_brutal,"(1, 2)",1.0,1.0,False,0.0,dice,12.47,0.14399,0.16597,0.1506,0.14399,0.08,0.264,0.264,0.0264,0.08
typo_brutal,"(1, 2)",1.0,1.0,False,0.5,dice,12.85,0.16934,0.19365,0.17253,0.16934,0.108,0.3,0.3,0.03,0.108
typo_brutal,"(1, 2)",1.0,1.0,False,1.0,dice,12.12,0.18116,0.20981,0.18253,0.18116,0.116,0.328,0.328,0.0328,0.116
typo_brutal,"(1, 2)",1.0,1.0,True,0.0,dice,13.42,0.21936,0.2573,0.22719,0.21936,0.128,0.408,0.408,0.0408,0.128
typo_brutal,"(1, 2)",1.0,1.0,True,0.5,dice,13.96,0.26627,0.30744,0.27971,0.26627,0.168,0.46,0.46,0.046,0.168
typo_brutal,"(1, 2)",1.0,1.0,True,1.0,dice,13.33,0.29124,0.32777,0.30711,0.29124,0.196,0.468,0.468,0.0468,0.196
typo_brutal,"(1, 2)",1.0,1.0,True,0.0,geo,13.87,0.22266,0.26093,0.2338,0.22266,0.132,0.412,0.412,0.0412,0.132
typo_brutal,"(1, 2)",1.0,1.0,True,0.5,geo,13.53,0.26387,0.30849,0.2763,0.26387,0.164,0.472,0.472,0.0472,0.164
typo_brutal,"(1, 2)",1.0,1.0,True,1.0,geo,13.63,0.28036,0.32371,0.29244,0.28036,0.18,0.484,0.484,0.0484,0.18
typo_brutal,"(1, 2)",1.0,2.0,False,0.0,dice,13.2,0.13848,0.15996,0.14166,0.13848,0.08,0.256,0.256,0.0256,0.08
typo_brutal,"(1, 2)",1.0,2.0,False,0.5,dice,13.24,0.16252,0.18104,0.16458,0.16252,0.108,0.272,0.272,0.0272,0.108
typo_brutal,"(1, 2)",1.0,2.0,False,1.0,dice,13.01,0.16633,0.19209,0.16678,0.16633,0.104,0.304,0.304,0.0304,0.104
typo_brutal,"(1, 2)",1.0,2.0,True,0.0,dice,13.23,0.16702,0.19422,0.16703,0.16702,0.096,0.316,0.316,0.0316,0.096
typo_brutal,"(1, 2)",1.0,2.0,True,0.5,dice,12.98,0.22108,0.253,0.2269,0.22108,0.132,0.388,0.388,0.0388,0.132
typo_brutal,"(1, 2)",1.0,2.0,True,1.0,dice,13.13,0.26384,0.30669,0.27789,0.26384,0.164,0.468,0.468,0.0468,0.164
typo_brutal,"(1, 2)",1.0,2.0,True,0.0,geo,13.47,0.17669,0.20585,0.17837,0.17669,0.104,0.332,0.332,0.0332,0.104
typo_brutal,"(1, 2)",1.0,2.0,True,0.5,geo,12.98,0.23769,0.27157,0.25045,0.23769,0.144,0.408,0.408,0.0408,0.144
typo_brutal,"(1, 2)",1.0,2.0,True,1.0,geo,13.04,0.27672,0.31559,0.29366,0.27672,0.172,0.464,0.464,0.0464,0.172
typo_brutal,"(1, 2)",2.0,1.0,False,0.0,dice,13.08,0.05875,0.07253,0.05306,0.05875,0.024,0.14,0.14,0.014,0.024
typo_brutal,"(1, 2)",2.0,1.0,False,0.5,dice,13.44,0.06765,0.08087,0.06422,0.06765,0.032,0.148,0.148,0.0148,0.032
typo_brutal,"(1, 2)",2.0,1.0,False,1.0,dice,12.79,0.07204,0.08596,0.06793,0.07204,0.032,0.156,0.156,0.0156,0.032
typo_brutal,"(1, 2)",2.0,1.0,True,0.0,dice,13.0,0.08556,0.09849,0.0844,0.08556,0.048,0.164,0.164,0.0164,0.048
typo_brutal,"(1, 2)",2.0,1.0,True,0.5,dice,13.16,0.1111,0.12534,0.11094,0.1111,0.064,0.196,0.196,0.0196,0.064
