task,n,idf_exponent,dim,normalize,build_sec,eval_sec,map,ndcg@10,mrr,hit@1,recall@10
typo,"(2, 4)",0.5,0.5,True,0.39,0.25,0.85699,0.87641,0.85699,0.80498,0.94191
typo,"(2, 4)",0.5,1.0,False,0.39,0.2,0.84773,0.86718,0.84773,0.80083,0.93361
typo,"(2, 4)",0.5,1.0,True,0.39,0.22,0.86688,0.88935,0.86688,0.81743,0.96266
typo,"(2, 4)",0.5,2.0,False,0.39,0.14,0.8616,0.88236,0.8616,0.81328,0.95021
typo,"(2, 4)",0.5,2.0,True,0.39,0.19,0.88844,0.90704,0.88844,0.83817,0.9668
typo,"(2, 4)",0.5,3.0,False,0.39,0.31,0.86358,0.8826,0.86358,0.81328,0.94606
typo,"(2, 4)",0.5,3.0,True,0.39,0.38,0.89283,0.91281,0.89283,0.84232,0.9751
typo,"(2, 4)",1.0,0.5,False,0.33,0.23,0.83503,0.85433,0.83503,0.78423,0.92116
typo,"(2, 4)",1.0,0.5,True,0.33,0.26,0.85647,0.87615,0.85647,0.80498,0.94191
typo,"(2, 4)",1.0,1.0,False,0.33,0.19,0.83322,0.85413,0.83322,0.78008,0.92531
typo,"(2, 4)",1.0,1.0,True,0.33,0.15,0.86532,0.8872,0.86532,0.81328,0.95851
typo,"(2, 4)",1.0,2.0,False,0.33,0.23,0.83719,0.85934,0.83719,0.78008,0.93361
typo,"(2, 4)",1.0,2.0,True,0.33,0.27,0.87918,0.89907,0.87918,0.82573,0.96266
typo,"(2, 4)",1.0,3.0,False,0.33,0.32,0.84086,0.86319,0.84086,0.78423,0.93776
typo,"(2, 4)",1.0,3.0,True,0.33,0.35,0.88463,0.90558,0.88463,0.82988,0.97095
typo,"(2, 4)",2.0,0.5,False,0.44,0.19,0.79893,0.82253,0.79893,0.73029,0.90456
typo,"(2, 4)",2.0,0.5,True,0.44,0.19,0.83105,0.85458,0.83105,0.77178,0.93361
typo,"(2, 4)",2.0,1.0,False,0.44,0.11,0.79252,0.81761,0.79252,0.72199,0.90456
typo,"(2, 4)",2.0,1.0,True,0.44,0.19,0.83858,0.86223,0.83858,0.78008,0.94191
typo,"(2, 4)",2.0,2.0,False,0.44,0.21,0.78141,0.80792,0.78141,0.70539,0.90041
typo,"(2, 4)",2.0,2.0,True,0.44,0.26,0.84385,0.86777,0.84385,0.78838,0.94606
typo,"(2, 4)",2.0,3.0,False,0.44,0.32,0.77539,0.80476,0.77539,0.6971,0.90456
typo,"(2, 4)",2.0,3.0,True,0.44,0.39,0.84123,0.86597,0.84123,0.78008,0.94606
typo,"(2, 4)",3.0,0.5,False,0.33,0.24,0.78155,0.80644,0.78155,0.71369,0.89212
typo,"(2, 4)",3.0,0.5,True,0.33,0.28,0.80296,0.82506,0.80296,0.74274,0.90456
typo,"(2, 4)",3.0,1.0,False,0.33,0.23,0.76907,0.79713,0.76907,0.69295,0.89212
typo,"(2, 4)",3.0,1.0,True,0.33,0.22,0.7823,0.8088,0.7823,0.70539,0.90041
typo,"(2, 4)",3.0,2.0,False,0.33,0.25,0.75561,0.78486,0.75561,0.6722,0.88382
typo,"(2, 4)",3.0,2.0,True,0.33,0.26,0.74981,0.78025,0.74981,0.6722,0.88797
typo,"(2, 4)",3.0,3.0,False,0.33,0.37,0.75048,0.78093,0.75048,0.6639,0.88382
